Código SNIES del programa,Año,Semestre,ID Sexo,Admitidos 2014,Selected
1,2014,1,2,20,No
1,2014,2,2,20,No
1,2014,1,1,68,No
1,2014,2,1,71,No
2,2014,1,2,19,No
2,2014,2,2,26,No
2,2014,1,1,32,No
2,2014,2,1,29,No
3,2014,1,2,15,No
3,2014,2,2,28,No
3,2014,1,1,36,No
3,2014,2,1,32,No
4,2014,1,2,12,No
4,2014,2,2,4,No
4,2014,1,1,17,No
4,2014,2,1,27,No
5,2014,1,2,13,No
5,2014,2,2,8,No
5,2014,1,1,36,No
5,2014,2,1,39,No
6,2014,1,2,4,No
6,2014,2,2,8,No
6,2014,1,1,25,No
6,2014,2,1,21,No
7,2014,1,2,18,No
7,2014,2,2,60,No
7,2014,1,1,29,No
7,2014,2,1,48,No
8,2014,2,2,31,No
8,2014,2,1,26,No
9,2014,1,2,43,No
9,2014,2,2,63,No
9,2014,1,1,88,No
9,2014,2,1,71,No
10,2014,1,2,24,No
10,2014,2,2,36,No
10,2014,1,1,20,No
10,2014,2,1,20,No
11,2014,1,2,24,No
11,2014,2,2,20,No
11,2014,1,1,28,No
11,2014,2,1,40,No
12,2014,1,2,26,No
12,2014,1,1,20,No
13,2014,1,2,14,No
13,2014,2,2,18,No
13,2014,1,1,31,No
13,2014,2,1,30,No
14,2014,1,2,34,No
14,2014,2,2,26,No
14,2014,1,1,49,No
14,2014,2,1,60,No
15,2014,1,2,27,No
15,2014,2,2,37,No
15,2014,1,1,20,No
15,2014,2,1,14,No
16,2014,1,2,19,No
16,2014,2,2,18,No
16,2014,1,1,38,No
16,2014,2,1,40,No
17,2014,1,2,24,No
17,2014,2,2,27,No
17,2014,1,1,56,No
17,2014,2,1,57,No
18,2014,1,2,23,No
18,2014,2,2,22,No
18,2014,1,1,64,No
18,2014,2,1,70,No
19,2014,1,2,22,No
19,2014,2,2,17,No
19,2014,1,1,52,No
19,2014,2,1,64,No
20,2014,1,2,6,No
20,2014,2,2,9,No
20,2014,1,1,38,No
20,2014,2,1,38,No
21,2014,1,2,14,No
21,2014,1,1,42,No
22,2014,1,2,6,No
22,2014,1,1,11,No
23,2014,1,2,31,No
23,2014,2,2,44,No
23,2014,1,1,53,No
23,2014,2,1,52,No
24,2014,1,2,20,No
24,2014,2,2,12,No
24,2014,1,1,49,No
24,2014,2,1,59,No
25,2014,1,2,23,No
25,2014,2,2,18,No
25,2014,1,1,93,No
25,2014,2,1,101,No
26,2014,1,2,6,No
26,2014,2,2,9,No
26,2014,1,1,89,No
26,2014,2,1,83,No
27,2014,1,2,10,No
27,2014,2,2,3,No
27,2014,1,1,62,No
27,2014,2,1,64,No
28,2014,1,2,11,No
28,2014,2,2,6,No
28,2014,1,1,73,No
28,2014,2,1,82,No
29,2014,1,2,37,No
29,2014,2,2,52,No
29,2014,1,1,99,No
29,2014,2,1,85,No
30,2014,1,2,20,No
30,2014,2,2,19,No
30,2014,1,1,54,No
30,2014,2,1,53,No
31,2014,1,2,24,No
31,2014,2,2,25,No
31,2014,1,1,38,No
31,2014,2,1,37,No
32,2014,1,2,15,No
32,2014,2,2,12,No
32,2014,1,1,43,No
32,2014,2,1,50,No
33,2014,1,2,9,No
33,2014,2,2,11,No
33,2014,1,1,60,No
33,2014,2,1,57,No
34,2014,1,2,6,No
34,2014,2,2,9,No
34,2014,1,1,35,No
34,2014,2,1,29,No
35,2014,1,2,11,No
35,2014,2,2,13,No
35,2014,1,1,35,No
35,2014,2,1,37,No
36,2014,1,2,24,No
36,2014,2,2,26,No
36,2014,1,1,46,No
36,2014,2,1,50,No
37,2014,1,2,29,No
37,2014,2,2,37,No
37,2014,1,1,44,No
37,2014,2,1,39,No
38,2014,1,1,5,No
39,2014,1,2,1,No
40,2014,1,2,1,No
40,2014,2,2,1,No
40,2014,2,1,1,No
41,2014,1,2,2,No
41,2014,1,1,1,No
45,2014,1,1,2,No
46,2014,1,2,5,No
46,2014,1,1,3,No
47,2014,1,2,1,No
47,2014,1,1,3,No
48,2014,1,2,1,No
48,2014,2,2,3,No
48,2014,1,1,5,No
48,2014,2,1,3,No
49,2014,1,1,1,No
50,2014,1,2,1,No
51,2014,1,2,4,No
51,2014,1,1,1,No
52,2014,1,1,3,No
53,2014,1,2,1,No
53,2014,1,1,1,No
55,2014,1,2,6,No
55,2014,1,1,4,No
57,2014,1,2,3,No
57,2014,1,1,3,No
58,2014,1,2,1,No
58,2014,1,1,3,No
59,2014,1,1,2,No
60,2014,1,1,2,No
61,2014,1,2,2,No
63,2014,1,2,2,No
64,2014,1,1,4,No
65,2014,1,1,1,No
66,2014,1,1,1,No
67,2014,1,2,1,No
67,2014,1,1,1,No
69,2014,2,2,15,No
69,2014,2,1,26,No
79,2014,1,2,6,No
79,2014,2,2,7,No
79,2014,1,1,5,No
79,2014,2,1,3,No
80,2014,2,2,1,No
80,2014,2,1,12,No
86,2014,1,2,4,No
86,2014,2,2,12,No
86,2014,1,1,2,No
86,2014,2,1,13,No
87,2014,1,2,5,No
87,2014,1,1,1,No
88,2014,1,2,11,No
88,2014,1,1,4,No
89,2014,1,2,13,No
89,2014,2,2,18,No
89,2014,1,1,10,No
89,2014,2,1,2,No
90,2014,1,2,10,No
90,2014,2,2,7,No
90,2014,1,1,15,No
90,2014,2,1,7,No
91,2014,2,2,2,No
91,2014,2,1,11,No
92,2014,2,2,2,No
92,2014,1,1,5,No
92,2014,2,1,9,No
93,2014,2,2,6,No
93,2014,2,1,7,No
95,2014,2,2,2,No
95,2014,2,1,15,No
96,2014,1,2,2,No
96,2014,2,2,7,No
96,2014,1,1,6,No
96,2014,2,1,9,No
98,2014,1,2,1,No
98,2014,2,2,4,No
98,2014,1,1,3,No
98,2014,2,1,7,No
100,2014,2,2,3,No
100,2014,2,1,17,No
101,2014,2,2,2,No
101,2014,2,1,13,No
103,2014,2,2,10,No
103,2014,2,1,21,No
104,2014,1,2,5,No
104,2014,2,2,7,No
104,2014,1,1,17,No
104,2014,2,1,24,No
105,2014,1,2,8,No
105,2014,2,2,2,No
105,2014,1,1,20,No
105,2014,2,1,24,No
106,2014,1,2,17,No
106,2014,1,1,9,No
107,2014,1,2,2,No
107,2014,2,2,3,No
107,2014,1,1,4,No
107,2014,2,1,5,No
108,2014,1,2,7,No
108,2014,2,2,7,No
108,2014,1,1,8,No
108,2014,2,1,7,No
109,2014,1,2,7,No
109,2014,1,1,4,No
110,2014,1,2,1,No
110,2014,2,2,3,No
110,2014,1,1,1,No
110,2014,2,1,3,No
111,2014,2,2,2,No
111,2014,1,1,6,No
111,2014,2,1,6,No
112,2014,1,1,5,No
112,2014,2,1,7,No
2449,2014,1,2,16,No
2449,2014,1,1,10,No
2497,2014,1,2,15,No
2497,2014,2,2,13,No
2497,2014,1,1,16,No
2497,2014,2,1,19,No
2603,2014,1,2,1,No
2603,2014,2,2,3,No
2603,2014,1,1,1,No
2603,2014,2,1,1,No
2604,2014,1,1,1,No
2605,2014,1,2,14,No
2605,2014,1,1,6,No
2606,2014,1,2,2,No
3100,2014,1,1,1,No
3100,2014,2,1,5,No
3101,2014,1,2,14,No
3101,2014,2,2,17,No
3101,2014,1,1,21,No
3101,2014,2,1,34,No
3102,2014,1,2,25,No
3102,2014,1,1,22,No
3103,2014,1,2,7,No
3103,2014,2,2,10,No
3103,2014,1,1,21,No
3103,2014,2,1,18,No
3140,2014,1,2,26,No
3140,2014,2,2,26,No
3140,2014,1,1,57,No
3140,2014,2,1,62,No
3909,2014,1,2,8,No
3909,2014,1,1,11,No
3992,2014,1,2,6,No
4063,2014,1,2,6,No
4063,2014,2,2,6,No
4063,2014,1,1,16,No
4063,2014,2,1,18,No
16884,2014,1,2,10,No
16884,2014,1,1,17,No
16887,2014,1,2,2,No
16887,2014,1,1,1,No
16887,2014,2,1,3,No
16888,2014,2,2,5,No
16888,2014,2,1,11,No
16889,2014,2,2,14,No
16889,2014,2,1,20,No
16890,2014,1,2,8,No
16890,2014,1,1,22,No
16891,2014,2,2,5,No
16891,2014,2,1,6,No
16895,2014,1,2,19,No
16895,2014,2,2,19,No
16895,2014,1,1,50,No
16895,2014,2,1,49,No
16938,2014,1,2,21,No
16938,2014,2,2,17,No
16938,2014,1,1,23,No
16938,2014,2,1,38,No
16939,2014,1,2,4,No
16939,2014,2,2,8,No
16939,2014,1,1,56,No
16939,2014,2,1,51,No
16940,2014,1,2,11,No
16940,2014,2,2,11,No
16940,2014,1,1,38,No
16940,2014,2,1,40,No
16941,2014,1,2,7,No
16941,2014,2,2,8,No
16941,2014,1,1,69,No
16941,2014,2,1,66,No
16943,2014,1,1,2,No
16943,2014,2,1,1,No
16946,2014,1,2,2,No
16947,2014,1,2,22,No
16947,2014,1,1,26,No
16948,2014,1,2,13,No
16948,2014,1,1,17,No
16949,2014,1,1,2,No
16951,2014,2,2,14,No
16951,2014,2,1,14,No
16952,2014,1,2,1,No
16952,2014,1,1,3,No
16954,2014,1,1,2,No
16955,2014,1,2,1,No
16955,2014,1,1,1,No
17906,2014,1,2,7,No
17906,2014,2,2,9,No
17906,2014,1,1,12,No
17906,2014,2,1,16,No
19892,2014,1,2,7,No
19892,2014,1,1,7,No
19893,2014,2,2,2,No
19893,2014,2,1,4,No
19894,2014,1,2,1,No
19894,2014,2,2,1,No
19894,2014,1,1,2,No
19895,2014,1,2,2,No
19896,2014,2,2,1,No
19896,2014,2,1,1,No
19897,2014,1,2,5,No
19897,2014,1,1,1,No
19899,2014,1,2,5,No
19899,2014,1,1,5,No
19900,2014,1,2,2,No
19900,2014,2,2,2,No
19900,2014,1,1,2,No
19900,2014,2,1,1,No
19901,2014,1,2,1,No
19901,2014,2,2,1,No
19901,2014,1,1,2,No
19901,2014,2,1,6,No
19902,2014,1,2,5,No
19902,2014,2,2,4,No
19902,2014,1,1,6,No
19902,2014,2,1,9,No
19903,2014,1,2,2,No
19903,2014,1,1,6,No
19904,2014,1,2,5,No
19904,2014,1,1,4,No
19905,2014,1,2,2,No
19905,2014,1,1,12,No
19906,2014,1,2,22,No
19906,2014,1,1,3,No
19907,2014,1,2,7,No
19907,2014,1,1,8,No
19908,2014,2,2,11,No
19908,2014,2,1,10,No
19909,2014,1,2,16,No
19909,2014,1,1,15,No
19910,2014,1,2,29,No
19910,2014,2,2,8,No
19910,2014,1,1,26,No
19910,2014,2,1,5,No
19911,2014,2,2,1,No
19911,2014,1,1,14,No
19911,2014,2,1,10,No
19912,2014,2,2,3,No
19912,2014,2,1,7,No
19913,2014,2,2,1,No
19913,2014,2,1,9,No
19914,2014,2,2,3,No
19914,2014,2,1,3,No
19915,2014,1,2,3,No
19915,2014,1,1,1,No
19917,2014,1,2,8,No
19917,2014,1,1,6,No
19918,2014,1,2,4,No
19918,2014,1,1,2,No
19919,2014,1,2,7,No
19919,2014,1,1,1,No
19930,2014,1,2,5,No
19930,2014,1,1,10,No
19963,2014,1,1,2,No
20487,2014,1,2,1,No
20487,2014,1,1,3,No
21556,2014,2,2,9,No
21556,2014,2,1,5,No
21560,2014,1,2,4,No
21560,2014,1,1,2,No
21561,2014,2,2,6,No
21561,2014,2,1,4,No
21562,2014,1,2,2,No
21562,2014,1,1,2,No
21563,2014,1,2,18,No
21563,2014,1,1,16,No
51674,2014,2,2,1,No
51674,2014,2,1,7,No
51676,2014,1,2,2,No
51676,2014,2,2,5,No
51676,2014,1,1,2,No
51676,2014,2,1,5,No
51682,2014,2,2,7,No
51682,2014,2,1,13,No
51687,2014,1,1,4,No
51687,2014,2,1,1,No
52727,2014,1,1,3,No
52728,2014,2,2,5,No
52728,2014,2,1,3,No
52729,2014,1,2,1,No
52729,2014,1,1,3,No
52729,2014,2,1,6,No
52730,2014,2,2,6,No
52730,2014,2,1,11,No
52731,2014,2,2,7,No
52731,2014,2,1,20,No
52732,2014,2,2,1,No
52732,2014,2,1,7,No
52734,2014,2,1,4,No
